24	17	1
31	24	1
10	5	1
16	10	1
23	16	1
30	23	1
36	30	1
41	36	1
9	4	1
15	9	1
22	15	1
29	22	1
35	29	1
40	35	1
8	3	1
14	8	1
21	14	1
28	21	1
34	28	1
39	34	1
7	2	1
6	7	1
12	6	1
13	12	1
20	13	1
19	20	1
26	19	1
27	26	1
33	27	1
32	33	1
37	32	1
38	37	1
6	1	1
13	7	1
18	11	1
25	18	1
19	12	1
32	26	1
38	33	1
27	20	1
1	2	1
12	11	1
19	18	1
26	25	1
30	31	1
29	30	1
28	29	1
27	28	1
34	33	1
35	34	1
36	35	1
40	41	1
39	40	1
38	39	1
23	24	1
22	23	1
21	22	1
20	21	1
14	13	1
15	14	1
16	15	1
16	17	1
9	10	1
8	9	1
7	8	1
3	2	1
4	3	1
5	4	1
