1	17	53	1
2	17	88	1
3	17	124	1
4	17	160	1
5	17	195	1
6	53	53	1
7	53	88	1
8	53	124	1
9	53	160	1
10	53	195	1
11	88	17	1
12	88	53	1
13	88	88	1
14	88	124	1
15	88	160	1
16	88	195	1
17	88	231	1
18	124	17	1
19	124	53	1
20	124	88	1
21	124	124	1
22	124	160	1
23	124	195	1
24	124	231	1
25	160	17	1
26	160	53	1
27	160	88	1
28	160	124	1
29	160	160	1
30	160	195	1
31	160	231	1
32	196	53	1
33	196	88	1
34	196	124	1
35	196	160	1
36	196	195	1
37	231	53	1
38	231	88	1
39	231	124	1
40	231	160	1
41	231	195	1
