1	17	124	1
2	25	83	1
3	25	165	1
4	48	48	1
5	48	200	1
6	53	124	1
7	58	151	1
8	58	97	1
9	74	74	1
10	74	174	1
11	83	223	1
12	83	25	1
13	88	124	1
14	97	190	1
15	97	58	1
16	99	99	1
17	99	149	1
18	124	17	1
19	124	53	1
20	124	88	1
21	124	160	1
22	124	195	1
23	124	231	1
24	124	124	1
25	149	99	1
26	149	149	1
27	151	58	1
28	151	190	1
29	160	124	1
30	165	25	1
31	165	223	1
32	175	73	1
33	175	175	1
34	190	97	1
35	190	151	1
36	195	124	1
37	200	48	1
38	200	200	1
39	223	83	1
40	223	165	1
41	231	124	1
