1	2	1
1	6	1
1	5	1
2	6	1
2	7	1
3	4	1
3	7	1
3	8	1
4	8	1
4	9	1
5	6	1
5	11	1
6	7	1
6	11	1
6	12	1
7	8	1
7	12	1
7	13	1
8	9	1
8	13	1
8	14	1
9	14	1
10	11	1
10	16	1
10	17	1
11	12	1
11	17	1
11	18	1
12	13	1
12	18	1
12	19	1
13	14	1
13	19	1
13	20	1
14	15	1
14	20	1
14	21	1
15	21	1
15	22	1
16	17	1
16	23	1
17	18	1
17	23	1
17	24	1
18	19	1
18	24	1
18	25	1
19	20	1
19	25	1
19	26	1
20	21	1
20	26	1
20	27	1
21	22	1
21	27	1
21	28	1
22	28	1
23	24	1
24	25	1
24	29	1
24	30	1
25	26	1
25	30	1
25	31	1
26	27	1
26	31	1
26	32	1
27	28	1
27	32	1
27	33	1
29	30	1
29	34	1
30	31	1
30	34	1
30	35	1
31	32	1
31	35	1
31	36	1
32	33	1
32	36	1
32	37	1
33	37	1
34	35	1
36	37	1
